选手,胜场数,负场数,总场数,胜率
lansoov,88,52,140,62.8571
GGrush_Doudizhu,51,39,90,56.6667
VGer_Whc,48,32,80,60.0000
44ikljli,37,21,58,63.7931
9527mog,35,37,72,48.6111
lxllll,31,24,55,56.3636
mosuo,29,20,49,59.1837
DDR[Pro],28,21,49,57.1429
nianqing,28,33,61,45.9016
Luckyy2023,27,24,51,52.9412
FFS-fly,27,31,58,46.5517
FFS-Open-1,25,24,49,51.0204
SC==G0D~,25,26,51,49.0196
SupeRocK,24,17,41,58.5366
IKILllIII,23,5,28,82.1429
FoR_TVSPZ,22,18,40,55.0000
FFS-DBS,21,32,53,39.6226
TianW,20,18,38,52.6316
FFS-no.1,20,20,40,50.0000
feifeiht,20,21,41,48.7805
do''do,19,17,36,52.7778
FF-GBLW,16,11,27,59.2593
CLOSE777,12,11,23,52.1739
tuyukoreasex,12,23,35,34.2857
paijipao,10,8,18,55.5556
LawyerChen,9,8,17,52.9412
FFS_Stefsunli,8,9,17,47.0588
ctrl+Q++Q,8,11,19,42.1053
Koxulka123,7,9,16,43.7500
BangZiJi999,6,4,10,60.0000
Quakextm,5,1,6,83.3333
520kill,5,2,7,71.4286
FFS-zhang1130,5,2,7,71.4286
wohaopa,5,2,7,71.4286
FFS-KaKaRu,5,5,10,50.0000
blackdos,5,5,10,50.0000
FFS-9527,5,11,16,31.2500
wuenbin1980,5,11,16,31.2500
NiceBird,5,22,27,18.5185
VVVVVVVVVMVVVVV,4,3,7,57.1429
bao'lixiao'di,4,4,8,50.0000
digua,4,4,8,50.0000
dkstarch,4,4,8,50.0000
jindou,4,4,8,50.0000
weimin,3,1,4,75.0000
zhendeniu,3,2,5,60.0000
Flashback..,3,6,9,33.3333
Miss,3,6,9,33.3333
ao'tu'man,3,6,9,33.3333
mehdiren,3,9,12,25.0000
mascot520,2,1,3,66.6667
LeiLei,2,3,5,40.0000
ming020626,2,3,5,40.0000
wudidaJB,2,4,6,33.3333
Kid,2,7,9,22.2222
jaystar,2,7,9,22.2222
xiang12345,1,1,2,50.0000
Harry007,1,2,3,33.3333
Super_545,1,4,5,20.0000
haskar,1,4,5,20.0000
Dny1987,0,1,1,0.0000
GAT-X102,0,1,1,0.0000
GOODTIME-NB,0,1,1,0.0000
Xihahou,0,2,2,0.0000
suaeer,0,2,2,0.0000
YY_go06,0,4,4,0.0000
Kiss-.-,0,6,6,0.0000
