选手,胜场数,负场数,总场数,胜率
lansoov,27,7,34,79.41%
GGrush,15,12,27,55.56%
44ikljli,11,10,21,52.38%
lxllll,10,8,18,55.56%
fly,9,7,16,56.25%
Open-1,6,3,9,66.67%
SuperRock,6,5,11,54.55%
tuyu,6,17,23,26.09%
do"do,5,6,11,45.45%
DBS,5,7,12,41.67%
Stefsunli,5,5,10,50.00%
VGer_Whc,5,7,12,41.67%
FoR_TVSPZ,4,0,4,100.00%
TianW,4,6,10,40.00%
no.1,4,2,6,66.67%
paijipao,4,0,4,100.00%
LawyerChen,4,2,6,66.67%
GOD,4,5,9,44.44%
VIM,4,3,7,57.14%
9527mog,3,5,8,37.50%
Koxulka123,3,3,6,50.00%
IKILII,2,1,3,66.67%
CLOSE777,2,2,4,50.00%
ctrl+Q++Q,2,4,6,33.33%
bao'lixiao'di,2,3,5,40.00%
kakaru,2,1,3,66.67%
wohaopa,1,0,1,100.00%
GBLW,1,1,2,50.00%
wudidaJB,1,0,1,100.00%
Quakextm,1,1,2,50.00%
NiceBird,1,4,5,20.00%
Luckyy2023,1,4,5,20.00%
wuenbin1980,1,9,10,10.00%
Flashback,0,3,3,0.00%
Kiss-.-,0,1,1,0.00%
digua,0,1,1,0.00%
mosuo,0,1,1,0.00%
feifeiht,0,1,1,0.00%
suaeer,0,2,2,0.00%
nianqing,0,8,8,0.00%
