Game ID,1
File Name,"195935,斗地主Doudizhu 8R-0.1.rep"
Date,2025-05-15,19:40:07
Duration,18:41
Winner,农民
Player Info:
Name,Result,Role,Race
GGrush_Doudizhu,Lose,地主,P
feifeiht__,Lose,地主,Z
tuyukoreasex,Lose,地主,Z
mosuo,Win,富农,P
lansoov,Win,贫农,T
IKILllIII,Win,贫农,Z
FFS-Open-1,Win,贫农,P
SupeRocK,Win,贫农,P

Game ID,2
File Name,"202001,斗地主Doudizhu 8R-0.1.rep"
Date,2025-05-15,20:01:28
Duration,17:34
Winner,地主
Player Info:
Name,Result,Role,Race
lansoov,Win,地主,Z
FFS-fly,Win,地主,P
mosuo,Win,地主,P
feifeiht__,Lose,富农,Z
FFS-Open-1,Lose,贫农,P
IKILllIII,Lose,贫农,Z
SupeRocK,Lose,贫农,P
GGrush_Doudizhu,Lose,贫农,P

Game ID,3
File Name,"203547,斗地主Doudizhu 8R-0.1.rep"
Date,2025-05-15,20:21:06
Duration,13:50
Winner,农民
Player Info:
Name,Result,Role,Race
FFS-Open-1,Lose,地主,P
SupeRocK,Lose,地主,T
feifeiht__,Lose,地主,Z
IKILllIII,Win,富农,Z
FFS-fly,Win,贫农,P
mosuo,Win,贫农,P
lansoov,Win,贫农,T
GGrush_Doudizhu,Win,贫农,Z

Game ID,4
File Name,"205322,斗地主Doudizhu 8R-0.1.rep"
Date,2025-05-15,20:38:00
Duration,14:45
Winner,农民
Player Info:
Name,Result,Role,Race
feifeiht__,Lose,地主,P
GGrush_Doudizhu,Lose,地主,Z
FFS-fly,Lose,地主,P
lansoov,Win,富农,P
IKILllIII,Win,贫农,Z
FFS-Open-1,Win,贫农,P
SupeRocK,Win,贫农,Z
mosuo,Win,贫农,P

Game ID,5
File Name,"210254,斗地主Doudizhu 8R-0.1.rep"
Date,2025-05-15,20:54:09
Duration,8:17
Winner,农民
Player Info:
Name,Result,Role,Race
SupeRocK,Lose,地主,Z
FFS-fly,Lose,地主,P
lansoov,Lose,地主,Z
GGrush_Doudizhu,Win,富农,T
IKILllIII,Win,贫农,Z
feifeiht__,Win,贫农,Z
FFS-Open-1,Win,贫农,P
mosuo,Win,贫农,P

Game ID,6
File Name,"210855,斗地主Doudizhu 8R-0.1.rep"
Date,2025-05-15,21:03:49
Duration,4:53
Winner,地主
Player Info:
Name,Result,Role,Race
SupeRocK,Win,地主,T
FFS-Open-1,Win,地主,P
lansoov,Win,地主,Z
IKILllIII,Lose,富农,Z
FFS-fly,Lose,贫农,P
mosuo,Lose,贫农,P
feifeiht__,Lose,贫农,Z
GGrush_Doudizhu,Lose,贫农,P

Game ID,7
File Name,"211717,斗地主Doudizhu 8R-0.1.rep"
Date,2025-05-15,21:09:54
Duration,7:13
Winner,地主
Player Info:
Name,Result,Role,Race
IKILllIII,Win,地主,Z
feifeiht__,Win,地主,Z
SupeRocK,Win,地主,T
GGrush_Doudizhu,Lose,富农,Z
FFS-fly,Lose,贫农,P
FFS-Open-1,Lose,贫农,P
lansoov,Lose,贫农,Z
mosuo,Lose,贫农,P

Game ID,8
File Name,"213154,斗地主Doudizhu 8R-0.1.rep"
Date,2025-05-15,21:19:00
Duration,12:15
Winner,农民
Player Info:
Name,Result,Role,Race
FoR_TVSPZ,Lose,地主,P
FFS-Open-1,Lose,地主,P
lxllll,Lose,地主,Z
FFS-fly,Win,富农,P
tuyukoreasex,Win,贫农,P
GGrush_Doudizhu,Win,贫农,Z
lansoov,Win,贫农,P
feifeiht__,Win,贫农,Z

Game ID,9
File Name,"214120,斗地主Doudizhu 8R-0.1.rep"
Date,2025-05-15,21:33:00
Duration,8:04
Winner,农民
Player Info:
Name,Result,Role,Race
FFS-Open-1,Lose,地主,P
FFS-fly,Lose,地主,P
tuyukoreasex,Lose,地主,T
feifeiht__,Win,富农,Z
blackdos,Win,贫农,Z
lxllll,Win,贫农,Z
GGrush_Doudizhu,Win,贫农,Z
FoR_TVSPZ,Win,贫农,P

