选手,胜场数,负场数,总场数,胜率
lansoov,13,4,17,76.4706
44ikljli,12,10,22,54.5455
do''do,10,9,19,52.6316
FFS-Open-1,9,3,12,75.0000
FFS-no.1,9,5,14,64.2857
FFS-DBS,9,12,21,42.8571
FF-GBLW,8,3,11,72.7273
IKILllIII,8,3,11,72.7273
GGrush_Doudizhu,8,10,18,44.4444
nianqing,8,13,21,38.0952
TianW,7,3,10,70.0000
9527mog,7,7,14,50.0000
lxllll,6,1,7,85.7143
FFS_Stefsunli,6,4,10,60.0000
Koxulka123,5,3,8,62.5000
Luckyy2023,5,3,8,62.5000
VVVVVVVVVMVVVVV,4,3,7,57.1429
mosuo,4,3,7,57.1429
CLOSE777,4,4,8,50.0000
FFS-KaKaRu,4,4,8,50.0000
SupeRocK,3,2,5,60.0000
FoR_TVSPZ,3,3,6,50.0000
VGer_Whc,3,4,7,42.8571
SC==G0D~,3,5,8,37.5000
tuyukoreasex,3,5,8,37.5000
FFS-zhang1130,2,1,3,66.6667
Quakextm,2,1,3,66.6667
feifeiht,2,1,3,66.6667
bao'lixiao'di,2,2,4,50.0000
ctrl+Q++Q,2,2,4,50.0000
FFS-fly,2,3,5,40.0000
LawyerChen,1,0,1,100.0000
paijipao,1,0,1,100.0000
mascot520,1,1,2,50.0000
xiang12345,1,1,2,50.0000
dkstarch,1,3,4,25.0000
wudidaJB,1,3,4,25.0000
wuenbin1980,1,9,10,10.0000
GAT-X102,0,1,1,0.0000
Kiss-.-,0,1,1,0.0000
Super_545,0,1,1,0.0000
digua,0,1,1,0.0000
Flashback..,0,2,2,0.0000
suaeer,0,2,2,0.0000
NiceBird,0,3,3,0.0000
