选手,胜场数,负场数,总场数,胜率
lansoov,30,9,39,76.9231
44ikljli,16,11,27,59.2593
GGrush_Doudizhu,15,12,27,55.5556
lxllll,11,9,20,55.0000
FFS-fly,9,7,16,56.2500
9527mog,9,10,19,47.3684
FFS-no.1,7,5,12,58.3333
SupeRocK,7,7,14,50.0000
FFS-Open-1,7,8,15,46.6667
paijipao,6,0,6,100.0000
feifeiht,6,3,9,66.6667
SC==G0D~,6,7,13,46.1538
FFS-DBS,6,8,14,42.8571
tuyukoreasex,6,17,23,26.0870
FFS_Stefsunli,5,5,10,50.0000
do''do,5,6,11,45.4545
VGer_Whc,5,7,12,41.6667
nianqing,5,12,17,29.4118
LawyerChen,4,2,6,66.6667
VVVVVVVVVMVVVVV,4,3,7,57.1429
FoR_TVSPZ,4,5,9,44.4444
CLOSE777,4,6,10,40.0000
TianW,4,6,10,40.0000
IKILllIII,3,1,4,75.0000
FFS-KaKaRu,3,2,5,60.0000
Koxulka123,3,3,6,50.0000
Luckyy2023,3,5,8,37.5000
FFS-zhang1130,2,1,3,66.6667
FF-GBLW,2,2,4,50.0000
bao'lixiao'di,2,3,5,40.0000
ctrl+Q++Q,2,4,6,33.3333
wohaopa,1,0,1,100.0000
wudidaJB,1,0,1,100.0000
Quakextm,1,1,2,50.0000
NiceBird,1,6,7,14.2857
wuenbin1980,1,9,10,10.0000
Kiss-.-,0,1,1,0.0000
digua,0,1,1,0.0000
mosuo,0,1,1,0.0000
suaeer,0,2,2,0.0000
Flashback..,0,3,3,0.0000
