日期,赞助者,金额,事项,备注
20250507,LawyerChen,88,DSL联赛系统建立,
20250507,DBS,16.8,DSL联赛系统建立,
20250507,zhendeniu,28.8,DSL联赛系统建立,
20250507,blackdos,38.8,DSL联赛系统建立,
20250507,jiangfen,38,DSL联赛系统建立,
20250507,Wayenniuniu,188,DSL联赛系统建立,
20250508,DBS,396,VS半只猪联谊奖金,
20250508,tuyu,25,DSL联赛系统建立,
20250509,TianW,30,DSL联赛系统建立,
20250509,Kiss,16.8,DSL联赛系统建立,
20250509,Lansoov,28.8,DSL联赛系统建立,
20250509,Open-1,18.88,DSL联赛系统建立,
20250509,xiaomabaoli,18.88,DSL联赛系统建立,
20250509,lkILIIII,18.8,DSL联赛系统建立,
20250509,Luckyy2023,18.88,DSL联赛系统建立,
20250509,VIM,88.88,DSL联赛系统建立,
20250509,DBS,88.88,DSL联赛系统建立,
20250510,Kakaru,18.88,DSL联赛系统建立,
20250511,fly,66.66,DSL联赛系统建立,
20250517,DDR,100,DSL联赛系统建立,
20250519,lxllll,66,DSL联赛系统建立,
20250521,lkILIIII,18.8,DSL联赛系统建立,
20250521,mosuo,18.88,DSL联赛系统建立,
20250521,paijipao,50,8R测试赛奖金,
20250521,zhendeniu,49,8R测试赛奖金,
20250522,paijipao,100,VS三炮台职业选手奖金,
20250522,DBS,400,VS三炮台职业选手奖金,
20250522,zhendeniu,343,VS三炮台职业选手奖金,
20250522,Koxulka,50,DSL联赛系统建立,
20250522,44L,36,自费要求购买比赛,
20250526,lkILIIII,18.8,互联网技术咨询,
